"id_ventil_task","id_agent","id_agent_creation","date_creation","type_chaine_paie","id_type_pointage","id_ventil_date_from","id_ventil_date_to","date_ventilation","task_status","version"
"218","9004799","9003742","2015-07-02T10:13:30.184","SHC","NULL","2","4","2015-07-02T10:16:24.513","OK","0"
"219","9003391","9003742","2015-07-02T10:13:30.187","SHC","NULL","2","4","2015-07-02T10:16:27.355","OK","0"
"220","9004147","9003742","2015-07-02T10:13:30.190","SHC","NULL","2","4","2015-07-02T10:16:28.530","OK","0"
"221","9003319","9003742","2015-07-02T10:13:30.192","SHC","NULL","2","4","2015-07-02T10:16:29.014","OK","0"
"222","9003006","9003742","2015-07-02T10:13:30.194","SHC","NULL","2","4","2015-07-02T10:16:30.935","OK","0"
"223","9004686","9003742","2015-07-02T10:13:30.196","SHC","NULL","2","4","2015-07-02T10:16:32.487","OK","0"
"224","9003255","9003742","2015-07-02T10:13:30.199","SHC","NULL","2","4","2015-07-02T10:16:34.255","OK","0"
"225","9002753","9003742","2015-07-02T10:13:30.201","SHC","NULL","2","4","2015-07-02T10:16:34.454","OK","0"
"226","9002753","9003742","2015-07-02T10:17:06.519","SHC","NULL","2","4","2015-07-02T10:18:00.267","OK","0"
"227","9005307","9003742","2015-07-02T13:53:04.937","SHC","NULL","2","4","2015-07-02T13:54:02.145","OK","0"
"228","9003397","9003742","2015-07-02T13:53:04.946","SHC","NULL","2","4","2015-07-02T13:54:03.757","OK","0"
"229","9003785","9003742","2015-07-02T13:53:04.954","SHC","NULL","2","4","2015-07-02T13:54:04.696","OK","0"
"230","9004373","9003742","2015-07-02T13:53:04.957","SHC","NULL","2","4","2015-07-02T13:54:07.635","OK","0"
