"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version","id_service_ads"
"5409","9002882","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:44.292","5","NULL"
"5421","9002339","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:45.062","5","NULL"
"5425","9004708","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:45.318","5","NULL"
"5193","9004748","DAAA","Secrétariat Général","2015-06-02T16:02:17.707","8","NULL"
"5194","9003938","DAAA","Secrétariat Général","2015-06-02T16:02:17.761","8","NULL"
"5202","9004416","DAEA","Cellule de Prévention des Risques Urbains","2015-06-02T16:02:18.291","8","NULL"
"5203","9004100","DAAA","Secrétariat Général","2015-06-02T16:02:18.352","8","NULL"
"5204","9003416","DAAA","Secrétariat Général","2015-06-02T16:02:18.420","8","NULL"
"5205","9005606","DAAA","Secrétariat Général","2015-06-02T16:02:18.481","8","NULL"
"5206","9005668","EAAA","Direction Générale des Services Techniques","2015-06-02T16:02:18.549","8","NULL"
"5208","9004355","DADA","Cellule du Conseil Municipal","2015-06-02T16:04:59.860","8","NULL"
"5426","9004828","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-06-18T14:46:45.381","5","NULL"
"5428","9005103","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:45.525","5","NULL"
"5430","9002907","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:45.649","5","NULL"
"5433","9003788","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:45.840","5","NULL"
"5434","9002528","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:45.902","5","NULL"
"5436","9005036","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:46.021","5","NULL"
"5437","9005158","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:46.079","5","NULL"
"5438","9005497","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-06-18T14:46:46.139","5","NULL"
"4898","9004606","ECCC","DEPEV Subdivision Propreté Urbaine","2015-03-13T14:09:03.521","2","NULL"
"5003","9005157","DBBC","DF SEB Section des Recettes","2015-03-30T14:47:09.255","10","NULL"
"4428","9004456","DFCC","SVQ Pôle Prévention et Médiation Sociale","2015-03-13T14:09:03.508","2","NULL"
