"id_ventil_hsup","id_ventil_date","id_agent","date_lundi","m_abs","m_hors_contrat","m_sup","m_sup_25","m_sup_50","m_djf","m_1_mai","m_nuit","m_normales","m_simples","m_composees","m_recuperees","m_sup_25_r","m_sup_50_r","m_djf_r","m_1_mai_r","m_nuit_r","m_normales_r","m_simples_r","m_composees_r","etat","version","m_abs_as400","m_rappel_service"
"785","6","9004980","2015-07-13T00:00:00.000","0","240","240","0","0","0","0","0","0","180","60","240","0","0","0","0","0","0","180","60","7","1","0","240"
"786","6","9004980","2015-07-20T00:00:00.000","0","60","60","0","0","0","0","0","0","60","0","60","0","0","0","0","0","0","60","0","7","1","0","0"
"801","6","9004686","2015-06-29T00:00:00.000","0","120","120","0","0","0","0","60","0","60","0","120","0","0","0","0","60","0","60","0","7","1","0","0"
"802","6","9005315","2015-07-06T00:00:00.000","0","45","45","0","0","0","0","0","0","45","0","45","0","0","0","0","0","0","45","0","7","1","0","0"
"803","6","9005315","2015-07-13T00:00:00.000","0","435","435","0","0","0","0","300","0","135","0","435","0","0","0","0","300","0","135","0","7","1","0","0"
"878","6","9003724","2015-06-01T00:00:00.000","0","420","420","0","0","0","0","0","0","180","240","0","0","0","0","0","0","0","0","0","7","1","0","0"
"895","6","9005044","2015-06-29T00:00:00.000","0","540","540","0","0","180","0","300","0","60","0","540","0","0","180","0","300","0","60","0","7","1","0","0"
"896","6","9005044","2015-07-13T00:00:00.000","0","420","420","0","0","0","0","0","0","180","240","420","0","0","0","0","0","0","180","240","7","1","0","240"
"871","6","9003384","2015-06-22T00:00:00.000","0","660","660","0","0","0","0","180","0","180","300","660","0","0","0","0","180","0","180","300","7","1","0","0"
"872","6","9003384","2015-07-13T00:00:00.000","0","480","480","0","0","60","0","420","0","0","0","480","0","0","60","0","420","0","0","0","7","1","0","480"
"873","6","9003384","2015-07-20T00:00:00.000","0","480","480","0","0","0","0","420","0","60","0","480","0","0","0","0","420","0","60","0","7","1","0","0"
"882","6","9004378","2015-06-29T00:00:00.000","0","120","120","0","0","0","0","0","0","120","0","120","0","0","0","0","0","0","120","0","7","1","0","0"
"883","6","9004378","2015-07-06T00:00:00.000","0","45","45","0","0","0","0","0","0","45","0","45","0","0","0","0","0","0","45","0","7","1","0","0"
"884","6","9004378","2015-07-13T00:00:00.000","0","15","15","0","0","0","0","0","0","15","0","15","0","0","0","0","0","0","15","0","7","1","0","0"
"885","6","9004378","2015-07-20T00:00:00.000","0","45","45","0","0","0","0","15","0","30","0","45","0","0","0","0","15","0","30","0","7","1","0","0"
"887","6","9002252","2015-07-06T00:00:00.000","0","330","330","0","0","0","0","120","0","180","30","330","0","0","0","0","120","0","180","30","7","1","0","0"
"888","6","9002252","2015-07-13T00:00:00.000","0","300","300","0","0","300","0","0","0","0","0","300","0","0","300","0","0","0","0","0","7","1","0","300"
"890","6","9005042","2015-06-29T00:00:00.000","0","120","120","0","0","0","0","0","0","120","0","120","0","0","0","0","0","0","120","0","7","1","0","0"
"898","6","9004229","2015-06-29T00:00:00.000","0","1140","1140","0","0","630","0","0","0","180","330","1140","0","0","630","0","0","0","180","330","7","1","0","0"
"899","6","9004229","2015-07-13T00:00:00.000","0","750","750","0","0","0","0","60","0","180","510","750","0","0","0","0","60","0","180","510","7","1","0","750"
"904","6","9005310","2015-07-06T00:00:00.000","0","105","105","0","0","0","0","0","0","105","0","105","0","0","0","0","0","0","105","0","7","1","0","0"
"905","6","9005310","2015-07-20T00:00:00.000","0","495","495","0","0","0","0","300","0","180","15","495","0","0","0","0","300","0","180","15","7","1","0","0"
"1015","7","9004634","2015-06-01T00:00:00.000","0","90","90","90","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1016","7","9004634","2015-06-15T00:00:00.000","0","270","270","270","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1017","7","9004684","2015-07-13T00:00:00.000","0","420","420","420","0","420","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1020","7","9004447","2015-07-13T00:00:00.000","0","1500","1500","480","1020","1500","0","240","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1021","7","9002246","2015-07-13T00:00:00.000","0","660","660","480","180","660","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1023","7","9002229","2015-07-06T00:00:00.000","0","240","240","240","0","240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1024","7","9002229","2015-07-13T00:00:00.000","0","1020","1020","480","540","720","0","300","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1025","7","9002229","2015-07-20T00:00:00.000","0","60","60","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1027","7","9003386","2015-07-06T00:00:00.000","0","480","480","480","0","480","0","60","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1028","7","9003386","2015-07-13T00:00:00.000","0","1290","1290","480","810","1110","0","270","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1037","7","9002528","2015-07-13T00:00:00.000","0","660","660","480","180","660","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1038","7","9004241","2015-07-27T00:00:00.000","0","540","540","480","60","360","0","0","0","0","0","540","480","60","360","0","0","0","0","0","7","1","0","0"
"1030","7","9004131","2015-06-29T00:00:00.000","0","60","60","60","0","60","0","0","0","0","0","60","60","0","60","0","0","0","0","0","7","1","0","0"
"1031","7","9004131","2015-07-13T00:00:00.000","0","1200","1200","480","720","1200","0","0","0","0","0","420","420","0","420","0","0","0","0","0","7","1","0","0"
"1032","7","9004131","2015-07-27T00:00:00.000","0","300","300","300","0","300","0","0","0","0","0","300","300","0","300","0","0","0","0","0","7","1","0","0"
"1547","8","9004635","2015-06-29T00:00:00.000","0","30","0","0","0","0","0","0","30","0","0","30","0","0","0","0","0","30","0","0","7","1","0","0"
"1550","8","9003388","2015-07-06T00:00:00.000","0","630","630","0","0","75","0","420","0","135","0","630","0","0","75","0","420","0","135","0","7","1","0","0"
"1560","8","9005307","2015-07-06T00:00:00.000","0","540","540","0","0","165","0","300","0","75","0","540","0","0","165","0","300","0","75","0","7","1","0","0"
"1561","8","9005307","2015-07-27T00:00:00.000","0","885","885","0","0","0","0","600","0","180","105","885","0","0","0","0","600","0","180","105","7","1","0","0"
"1562","8","9005307","2015-08-10T00:00:00.000","0","480","480","0","0","135","0","300","0","45","0","480","0","0","135","0","300","0","45","0","7","1","0","0"
"1563","8","9005307","2015-08-17T00:00:00.000","0","720","720","0","0","0","0","600","0","120","0","720","0","0","0","0","600","0","120","0","7","1","0","0"
"1564","8","9002778","2015-07-20T00:00:00.000","0","120","120","0","0","0","0","0","0","120","0","120","0","0","0","0","0","0","120","0","7","1","0","0"
"1565","8","9002778","2015-07-27T00:00:00.000","0","120","120","0","0","0","0","0","0","120","0","120","0","0","0","0","0","0","120","0","7","1","0","0"
"1566","8","9004123","2015-07-20T00:00:00.000","0","150","150","0","0","0","0","0","0","150","0","150","0","0","0","0","0","0","150","0","7","1","0","0"
"1567","8","9004981","2015-07-13T00:00:00.000","0","810","810","0","0","675","0","0","0","135","0","810","0","0","675","0","0","0","135","0","7","1","0","675"
"1548","8","9004229","2015-07-27T00:00:00.000","0","600","600","0","0","600","0","0","0","0","0","600","0","0","600","0","0","0","0","0","7","1","0","600"
"1549","8","9004229","2015-08-17T00:00:00.000","0","60","60","0","0","0","0","0","0","60","0","60","0","0","0","0","0","0","60","0","7","1","0","0"
"1554","8","9005310","2015-08-03T00:00:00.000","0","90","90","0","0","0","0","0","0","90","0","90","0","0","0","0","0","0","90","0","7","1","0","0"
"1555","8","9005310","2015-08-10T00:00:00.000","0","870","870","0","0","135","0","600","0","135","0","870","0","0","135","0","600","0","135","0","7","1","0","0"
"1556","8","9005310","2015-08-17T00:00:00.000","0","45","45","0","0","0","0","45","0","0","0","45","0","0","0","0","45","0","0","0","7","1","0","0"
"1557","8","9004276","2015-07-20T00:00:00.000","0","150","150","0","0","0","0","0","0","150","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1558","8","9004276","2015-08-03T00:00:00.000","0","240","240","0","0","0","0","0","0","180","60","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1559","8","9004276","2015-08-17T00:00:00.000","0","150","150","0","0","0","0","0","0","150","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1026","7","9003386","2015-06-29T00:00:00.000","0","360","360","360","0","360","0","30","0","0","0","0","0","0","0","0","0","0","0","0","7","1","0","0"
"1570","8","9004798","2015-07-27T00:00:00.000","0","435","435","0","0","0","0","300","0","135","0","435","0","0","0","0","300","0","135","0","7","1","0","0"
"900","6","9003388","2015-06-29T00:00:00.000","0","45","45","0","0","45","0","0","0","0","0","45","0","0","45","0","0","0","0","0","7","1","0","0"
"908","6","9002778","2015-06-01T00:00:00.000","0","300","300","0","0","0","0","0","0","180","120","300","0","0","0","0","0","0","180","120","7","1","0","0"
"909","6","9002778","2015-06-22T00:00:00.000","0","120","120","0","0","0","0","0","0","120","0","120","0","0","0","0","0","0","120","0","7","1","0","0"
"910","6","9002778","2015-06-29T00:00:00.000","0","90","90","0","0","0","0","0","0","90","0","90","0","0","0","0","0","0","90","0","7","1","0","0"
"911","6","9002778","2015-07-06T00:00:00.000","0","330","330","0","0","0","0","120","0","180","30","330","0","0","0","0","120","0","180","30","7","1","0","0"
"913","6","9005307","2015-07-13T00:00:00.000","0","675","675","0","0","0","0","300","0","180","195","675","0","0","0","0","300","0","180","195","7","1","0","240"
"914","6","9005307","2015-07-20T00:00:00.000","0","60","0","0","0","0","0","0","60","0","0","60","0","0","0","0","0","60","0","0","7","1","960","0"
"915","6","9003785","2015-06-29T00:00:00.000","0","45","45","0","0","0","0","0","0","45","0","45","0","0","0","0","0","0","45","0","7","1","0","0"
"916","6","9004981","2015-07-06T00:00:00.000","0","270","270","0","0","0","0","90","0","180","0","270","0","0","0","0","90","0","180","0","7","1","0","0"
"917","6","9004981","2015-07-13T00:00:00.000","0","615","615","0","0","480","0","0","0","135","0","615","0","0","480","0","0","0","135","0","7","1","0","480"
"918","6","9004798","2015-07-06T00:00:00.000","0","45","45","0","0","0","0","0","0","45","0","45","0","0","0","0","0","0","45","0","7","1","0","0"
"919","6","9004798","2015-07-13T00:00:00.000","0","435","435","0","0","0","0","300","0","135","0","435","0","0","0","0","300","0","135","0","7","1","0","0"
