"id_pointage","id_agent","id_type_pointage","date_lundi","date_debut","date_fin","quantite","id_pointage_parent","id_ref_prime","is_hsup_recuperee","id_comment_motif","id_comment_commentaire","version","id_ref_type_absence","is_hsup_rappel_service","id_motif_hsup"
"6509","9003235","3","2015-07-20T00:00:00.000","2015-07-21T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6439","9003004","3","2015-07-20T00:00:00.000","2015-07-24T00:00:00.000","NULL","420","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6438","9003004","3","2015-07-20T00:00:00.000","2015-07-22T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6437","9003004","3","2015-07-20T00:00:00.000","2015-07-21T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6436","9003004","3","2015-07-20T00:00:00.000","2015-07-20T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6494","9003148","3","2015-07-20T00:00:00.000","2015-07-24T00:00:00.000","NULL","420","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6493","9003148","3","2015-07-20T00:00:00.000","2015-07-23T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6492","9003148","3","2015-07-20T00:00:00.000","2015-07-22T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6491","9003148","3","2015-07-20T00:00:00.000","2015-07-21T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6490","9003148","3","2015-07-20T00:00:00.000","2015-07-20T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6435","9004104","3","2015-07-13T00:00:00.000","2015-07-17T00:00:00.000","NULL","420","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6434","9004104","3","2015-07-13T00:00:00.000","2015-07-16T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6433","9004104","3","2015-07-13T00:00:00.000","2015-07-15T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6486","9003145","3","2015-07-20T00:00:00.000","2015-07-24T00:00:00.000","NULL","420","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6485","9003145","3","2015-07-20T00:00:00.000","2015-07-23T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6484","9003145","3","2015-07-20T00:00:00.000","2015-07-22T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6483","9003145","3","2015-07-20T00:00:00.000","2015-07-21T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"6482","9003145","3","2015-07-20T00:00:00.000","2015-07-20T00:00:00.000","NULL","480","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
"12388","9004143","3","2015-08-17T00:00:00.000","2015-08-18T00:00:00.000","NULL","480","NULL","28","NULL","NULL","NULL","0","NULL","NULL","NULL"
"12389","9004143","3","2015-08-17T00:00:00.000","2015-08-19T00:00:00.000","NULL","480","NULL","28","NULL","NULL","NULL","0","NULL","NULL","NULL"
"12390","9004143","3","2015-08-17T00:00:00.000","2015-08-20T00:00:00.000","NULL","480","NULL","28","NULL","NULL","NULL","0","NULL","NULL","NULL"
"12391","9004143","3","2015-08-17T00:00:00.000","2015-08-21T00:00:00.000","NULL","480","NULL","28","NULL","NULL","NULL","0","NULL","NULL","NULL"
"12417","9005101","3","2015-08-17T00:00:00.000","2015-08-17T00:00:00.000","NULL","480","NULL","28","NULL","NULL","NULL","0","NULL","NULL","NULL"
"10430","9003229","3","2015-08-03T00:00:00.000","2015-08-04T00:00:00.000","NULL","480","NULL","23","NULL","NULL","NULL","0","NULL","NULL","NULL"
"10431","9003229","3","2015-08-03T00:00:00.000","2015-08-05T00:00:00.000","NULL","480","NULL","23","NULL","NULL","NULL","0","NULL","NULL","NULL"
"10432","9003229","3","2015-08-03T00:00:00.000","2015-08-06T00:00:00.000","NULL","480","NULL","23","NULL","NULL","NULL","0","NULL","NULL","NULL"
"6517","9003240","3","2015-07-20T00:00:00.000","2015-07-24T00:00:00.000","NULL","420","NULL","26","NULL","NULL","NULL","1","NULL","NULL","NULL"
