"id_droits_agent","id_agent","code_service","libelle_service","date_modification","version"
"4736","9003013","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4737","9002528","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4738","9002138","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4739","9005036","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4740","9004866","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4741","9002204","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4742","9003189","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4743","9004855","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4744","9004937","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4745","9005103","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4746","9005158","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4747","9002907","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4748","9002882","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4749","9002887","EBCC","DB Subdivision du Patrimoine Scolaire et Sportif","2015-03-13T14:09:03.517","0"
"4750","9003934","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-03-13T14:09:03.517","0"
"4751","9004828","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-03-13T14:09:03.517","0"
"4752","9003590","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-03-13T14:09:03.517","0"
"4753","9004464","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-03-13T14:09:03.517","0"
"4754","9003095","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-03-13T14:09:03.517","0"
"4755","9005076","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-03-13T14:09:03.517","0"
"4756","9003029","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-03-13T14:09:03.517","0"
"4757","9002229","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-03-13T14:09:03.517","0"
"4704","9003620","EABA","DGST Service Coordination Administration Finances","2015-03-13T14:09:03.516","1"
"4705","9004129","EABD","SCAF Section Proximité Intervention","2015-03-13T14:09:03.516","6"
"4758","9002418","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-03-13T14:09:03.517","0"
"4759","9005344","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-03-13T14:09:03.517","0"
"4760","9004490","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-03-13T14:09:03.517","0"
"4761","9005141","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-03-13T14:09:03.517","0"
"4762","9005306","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-03-13T14:09:03.517","0"
"4763","9003165","EBCD","DB Subdivision du Patrimoine Administratif et de Proximité","2015-03-13T14:09:03.517","0"
"4764","9003299","EBCF","DB Marché Municipal","2015-03-13T14:09:03.517","0"
"4765","9002607","EBCF","DB Marché Municipal","2015-03-13T14:09:03.517","0"
"4766","9004540","EBCF","DB Marché Municipal","2015-03-13T14:09:03.517","0"
"4767","9005091","EBCF","DB Marché Municipal","2015-03-13T14:09:03.517","0"
"4768","9004114","EBEA","DGUI Division Etudes et Travaux Voirie Eau et Assainissement","2015-03-13T14:09:03.518","0"
"4769","9004601","EBEF","DETVEA Bureau Transport Déplacement","2015-03-13T14:09:03.518","0"
"4770","9005200","EBEB","DETVEA Subdivision Etudes Voirie","2015-03-13T14:09:03.518","0"
"4771","9005234","EBEB","DETVEA Subdivision Etudes Voirie","2015-03-13T14:09:03.518","0"
"4772","9003969","EBEB","DETVEA Subdivision Etudes Voirie","2015-03-13T14:09:03.518","0"
"4773","9003817","EBEB","DETVEA Subdivision Etudes Voirie","2015-03-13T14:09:03.518","0"
"4776","9005290","EBEC","DETVEA Subdivision Etudes Eau et Assainissement","2015-03-13T14:09:03.518","0"
"4777","9005114","EBED","DETVEA Subdivision Travaux Neufs Voirie","2015-03-13T14:09:03.518","0"
"4778","9005489","EBED","DETVEA Subdivision Travaux Neufs Voirie","2015-03-13T14:09:03.518","0"
