"id_pointage","id_agent","id_type_pointage","date_lundi","date_debut","date_fin","quantite","id_pointage_parent","id_ref_prime","is_hsup_recuperee","id_comment_motif","id_comment_commentaire","version","id_ref_type_absence"
"64","9003304","1","2014-05-12T00:00:00.000","2014-05-13T07:15:00.000","2014-05-13T15:30:00.000","NULL","NULL","NULL","NULL","62","NULL","0","2"
"65","9003304","1","2014-05-12T00:00:00.000","2014-05-14T07:15:00.000","2014-05-14T15:30:00.000","NULL","NULL","NULL","NULL","63","NULL","0","2"
"66","9003236","2","2014-05-12T00:00:00.000","2014-05-12T17:15:00.000","2014-05-12T19:30:00.000","NULL","NULL","NULL","false","64","NULL","0","NULL"
"67","9003236","2","2014-05-12T00:00:00.000","2014-05-13T17:15:00.000","2014-05-13T19:30:00.000","NULL","NULL","NULL","false","65","NULL","0","NULL"
"70","9003305","2","2014-04-28T00:00:00.000","2014-05-02T04:45:00.000","2014-05-02T07:30:00.000","NULL","NULL","NULL","true","68","NULL","0","NULL"
"71","9003305","2","2014-04-28T00:00:00.000","2014-05-03T04:45:00.000","2014-05-03T07:45:00.000","NULL","NULL","NULL","true","69","NULL","0","NULL"
"72","9004522","2","2014-04-28T00:00:00.000","2014-05-02T17:15:00.000","2014-05-02T20:15:00.000","NULL","NULL","NULL","false","70","NULL","0","NULL"
"73","9004173","2","2014-04-28T00:00:00.000","2014-05-03T04:45:00.000","2014-05-03T07:45:00.000","NULL","NULL","NULL","true","71","NULL","0","NULL"
"74","9003408","1","2014-05-12T00:00:00.000","2014-05-15T07:15:00.000","2014-05-15T15:30:00.000","NULL","NULL","NULL","NULL","72","NULL","0","2"
"75","9003408","1","2014-05-12T00:00:00.000","2014-05-16T07:15:00.000","2014-05-16T15:30:00.000","NULL","NULL","NULL","NULL","73","NULL","0","2"
"76","9003408","1","2014-05-12T00:00:00.000","2014-05-17T07:15:00.000","2014-05-17T15:30:00.000","NULL","NULL","NULL","NULL","74","NULL","0","2"
"77","9003304","1","2014-05-12T00:00:00.000","2014-05-12T07:15:00.000","2014-05-12T15:30:00.000","NULL","NULL","NULL","NULL","75","NULL","0","2"
"78","9003304","1","2014-05-12T00:00:00.000","2014-05-15T07:15:00.000","2014-05-15T15:30:00.000","NULL","NULL","NULL","NULL","76","NULL","0","2"
"79","9003305","1","2014-05-12T00:00:00.000","2014-05-15T13:30:00.000","2014-05-15T15:30:00.000","NULL","NULL","NULL","NULL","77","NULL","0","1"
"80","9004173","1","2014-05-12T00:00:00.000","2014-05-13T07:15:00.000","2014-05-13T15:00:00.000","NULL","NULL","NULL","NULL","78","NULL","0","1"
"81","9004173","1","2014-05-12T00:00:00.000","2014-05-14T07:15:00.000","2014-05-14T15:00:00.000","NULL","NULL","NULL","NULL","79","NULL","0","1"
"82","9004173","1","2014-05-12T00:00:00.000","2014-05-15T07:15:00.000","2014-05-15T15:00:00.000","NULL","NULL","NULL","NULL","80","NULL","0","1"
"83","9004173","1","2014-05-12T00:00:00.000","2014-05-16T07:15:00.000","2014-05-16T15:00:00.000","NULL","NULL","NULL","NULL","81","NULL","0","1"
"84","9004173","1","2014-05-12T00:00:00.000","2014-05-12T07:15:00.000","2014-05-12T15:00:00.000","NULL","NULL","NULL","NULL","82","NULL","0","1"
"85","9004634","1","2014-05-12T00:00:00.000","2014-05-16T07:15:00.000","2014-05-16T07:45:00.000","NULL","NULL","NULL","NULL","83","NULL","0","1"
"86","9003236","1","2014-05-19T00:00:00.000","2014-05-21T05:15:00.000","2014-05-21T22:00:00.000","NULL","NULL","NULL","NULL","84","NULL","0","1"
"87","9003305","1","2014-05-19T00:00:00.000","2014-05-20T07:45:00.000","2014-05-20T11:15:00.000","NULL","NULL","NULL","NULL","85","NULL","0","1"
